Sr.No,Product Name,Prices,Image ulrs,ratings
51,"
            F&D E200 3W 2.0 Channel Wired Soundbar - Black
        ",₹899,"https://images-eu.ssl-images-amazon.com/images/I/21i-s16dK+L._AC._SR180,230.jpg","6,630"
52,"
            Sony HT-S20R Real 5.1ch Dolby Digital Soundbar for TV with subwoofer and Compact Rear Speakers, 5.1ch Home Theatre System (400W,Bluetooth & USB Connectivity, HDMI & Optical connectivity)
        ","₹1,489","https://images-eu.ssl-images-amazon.com/images/I/41+mgWz7knL._AC._SR180,230.jpg","37,048"
53,"
            boAt Type C A750 Stress Resistant, Tangle-free, Sturdy Flat Cable with 6.5A Fast Charging & 480Mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Radiant Red)
        ",₹349,"https://images-eu.ssl-images-amazon.com/images/I/41kk1Egf+KL._AC._SR180,230.jpg","9,967"
54,"
            Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), Black
        ",₹389,"https://images-eu.ssl-images-amazon.com/images/I/419QKVTxaSL._AC._SR180,230.jpg","6,687"
55,"
            Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White
        ",₹299,"https://images-eu.ssl-images-amazon.com/images/I/31Knj3MsVUL._AC._SR180,230.jpg","11,558"
56,"
            LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black)
        ",₹459,"https://images-eu.ssl-images-amazon.com/images/I/41uzJ2dIYlS._AC._SR180,230.jpg","6,630"
57,"
            boAt Aavante Bar 900 Bluetooth Soundbar with 30W RMS, 2.0 Channel, Multiple Connectivity, EQ Modes, Sleek Finish, Easy Access Integrated Controls(Premium Black)
        ","₹1,599","https://images-eu.ssl-images-amazon.com/images/I/31J3pwT7i4L._AC._SR180,230.jpg",352
58,"
            Croiky Dash Fast Charging Usb Type C Data Cable 5V 4A For Charging Adapter, Oneplus 3 / 3T / 5 / 5T / 6 / 6T / 7 (3Ft)
        ","₹7,999","https://images-eu.ssl-images-amazon.com/images/I/31d-MBtNkZL._AC._SR180,230.jpg",102
59,"
            Blaupunkt SBA20 Party 20W Wireless Soundbar with 2000 mAh Battery I Karaoke Ready with Party RGB Lights I Bluetooth, USB & FM Antenna I Mini Gaming BT Soundbar for TV, Mobile, PC, Tablets, Laptops
        ","₹6,990","https://images-eu.ssl-images-amazon.com/images/I/414ky6+uJiL._AC._SR180,230.jpg",102
60,"
            Boat Deuce Usb 500 Stress Resistant Tangle-Free Sturdy 2-In-1 Micro Usb + Type-C 6.5A Fast Charging Cable With 480Mbps Data Transmission, 1.5M Long For Personal Computer (Radiant Red)
        ","₹6,999","https://images-eu.ssl-images-amazon.com/images/I/31Lj4LohusL._AC._SR180,230.jpg",18
61,"
            ZEBRONICS Zeb-Juke BAR 9500WS PRO Dolby 5.1 soundbar with Wireless Satellites, Dolby Audio, 525 Watts Output Power, 16.5cm subwoofer, HDMI ARC, Optical, BT v5.0, LED Display, Wall Mount and AUX,Black
        ","₹1,099","https://images-eu.ssl-images-amazon.com/images/I/41dQJ40GL+L._AC._SR180,230.jpg",159
62,"
            VR BOX Virtual Reality Headset Glasses Anti-Radiation Adjustable Screen Headband 2021 Latest VR Box for All Android Phones with 2 Year Replacement Warranty (White) VR BOX-2
        ","₹17,990","https://images-eu.ssl-images-amazon.com/images/I/315GYJ3MhcL._AC._SR180,230.jpg",128
63,"
            Boat Deuce Usb 500 Stress Resistant, Tangle-Free, Sturdy 2-In-1 Micro Usb For Personal Computer (Rebellious Black, 1.5M Length)
        ",₹399,"https://images-eu.ssl-images-amazon.com/images/I/41+3EsgcpzL._AC._SR180,230.jpg","2,372"
64,"
            ZEBRONICS Zeb-PIXAPLAY 11 Portable LED Projector with FHD 1080p Support, HDMI, USB, mSD, 381cm/150"" Screen Size, Dual Power Input, Built-in-Speaker, Remote Control, AV in, AUX Out and Compact Design
        ",₹599,"https://images-eu.ssl-images-amazon.com/images/I/21l1gH0C2ML._AC._SR180,230.jpg",16
