Sr.No,GPU Name,Prices,link
98,Tiny Tina's Wonderlands [Epic Online Game Code] and ASUS TUF Gaming GeForce RTX 3080 Ti Video Card TUF-RTX3080TI-O12G-GAMING,1291,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493097
99,Tiny Tina's Wonderlands [Epic Online Game Code] and GIGABYTE GeForce RTX 3080 EAGLE 12G Graphics Card 3 x WINDFORCE Fans 12GB 384-bit GDDR6X GV-N3080EAGLE-12GD Video Card,1291,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493527
100,LEGO® Star Wars™: The Skywalker Saga Deluxe Edition - PC [Online Game Code] and EVGA GeForce RTX 3080 12GB XC3 BLACK GAMING Video Card 12G-P5-4861-KL 12GB GDDR6X iCX3 Cooling ARGB LED LHR,1298,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493572
101,"ASUS ROG Strix NVIDIA GeForce RTX 3080 OC EVA EDITION Gaming Graphics Card (PCIe 4.0, 12GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 2.9-slot, Super Alloy Power II, GPU Tweak), LHR",1299,https://www.newegg.com/asus-geforce-rtx-3080-rog-strix-rtx3080-o12g-eva/p/N82E16814126580?Item=N82E16814126580&Description=3080&cm_re=3080-_-14-126-580-_-Product
102,GIGABYTE AORUS GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TAORUS M-12GD,1299,https://www.newegg.com/gigabyte-geforce-rtx-3080-ti-gv-n308taorus-m-12gd/p/N82E16814932435?Item=N82E16814932435&Description=3080&cm_re=3080-_-14-932-435-_-Product
103,"GIGABYTE AORUS GeForce RTX 3080 XTREME WATERFORCE WB 10G Graphics Card, WATERFORCE Water Block Cooling System, 10GB 320-bit GDDR6X, GV-N3080AORUSX WB-10GD Video Card",1299,https://www.newegg.com/gigabyte-geforce-rtx-3080-gv-n3080aorusx-wb-10gd/p/N82E16814932371R?Item=N82E16814932371R&Description=3080&cm_re=3080-_-14-932-371R-_-Product
104,GIGABYTE AORUS GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX GAMING BOX GV-N3080IXEB-10GD (rev. 2.0) (LHR),1299,https://www.newegg.com/gigabyte-geforce-rtx-3080-gv-n3080ixeb-10gd/p/N82E16814932471R?Item=N82E16814932471R&Description=3080&cm_re=3080-_-14-932-471R-_-Product
105,Tiny Tina's Wonderlands [Epic Online Game Code] and EVGA GeForce RTX 3080 12GB XC3 BLACK GAMING Video Card 12G-P5-4861-KL 12GB GDDR6X iCX3 Cooling ARGB LED LHR,1301,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493528
106,ELDEN RING - PC [Steam Online Game Code] and ASUS TUF Gaming GeForce RTX 3080 Ti Video Card TUF-RTX3080TI-O12G-GAMING,1304,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493861
107,ELDEN RING - PC [Steam Online Game Code] and GIGABYTE GeForce RTX 3080 EAGLE 12G Graphics Card 3 x WINDFORCE Fans 12GB 384-bit GDDR6X GV-N3080EAGLE-12GD Video Card,1304,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493947
108,ELDEN RING - PC [Steam Online Game Code] and EVGA GeForce RTX 3080 12GB XC3 BLACK GAMING Video Card 12G-P5-4861-KL 12GB GDDR6X iCX3 Cooling ARGB LED LHR,1314,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493948
109,PC Game Pass - 3 Month Membership US [Digital Code] and ZOTAC AMP Extreme Holo GeForce RTX 3080 Ti Video Card ZT-A30810B-10P,1319,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493672
110,PC Game Pass - 3 Month Membership US [Digital Code] and GIGABYTE AORUS GeForce RTX 3080 Ti Video Card GV-N308TAORUS M-12GD,1319,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493670
111,LEGO® Star Wars™: The Skywalker Saga Deluxe Edition - PC [Online Game Code] and ZOTAC AMP Extreme Holo GeForce RTX 3080 Ti Video Card ZT-A30810B-10P,1338,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493584
112,LEGO® Star Wars™: The Skywalker Saga Deluxe Edition - PC [Online Game Code] and GIGABYTE AORUS GeForce RTX 3080 Ti Video Card GV-N308TAORUS M-12GD,1338,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493582
113,PC Game Pass - 3 Month Membership US [Digital Code] and ASUS TUF Gaming GeForce RTX 3080 Video Card LHR TUF-RTX3080-12G-GAMING,1341,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493391
114,Tiny Tina's Wonderlands [Epic Online Game Code] and ZOTAC AMP Extreme Holo GeForce RTX 3080 Ti Video Card ZT-A30810B-10P,1341,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493540
115,Tiny Tina's Wonderlands [Epic Online Game Code] and GIGABYTE AORUS GeForce RTX 3080 Ti Video Card GV-N308TAORUS M-12GD,1341,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493538
116,GIGABYTE AORUS GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TAORUSX WB-12GD,1349,https://www.newegg.com/gigabyte-geforce-rtx-3080-ti-gv-n308taorusx-wb-12gd/p/N82E16814932526?Item=N82E16814932526&Description=3080&cm_re=3080-_-14-932-526-_-Product
117,ELDEN RING - PC [Steam Online Game Code] and ZOTAC AMP Extreme Holo GeForce RTX 3080 Ti Video Card ZT-A30810B-10P,1354,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493960
118,ELDEN RING - PC [Steam Online Game Code] and GIGABYTE AORUS GeForce RTX 3080 Ti Video Card GV-N308TAORUS M-12GD,1354,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493958
